t,theta,omega,E
0.000000,0.026988,-0.001382,0.752651
0.050000,0.026988,-0.001382,0.752651
0.100000,0.026988,-0.001382,0.752651
0.150000,0.026988,-0.001382,0.752651
0.200000,0.026988,-0.001382,0.752651
0.250000,0.026988,-0.001382,0.752651
0.300000,0.026988,-0.001382,0.752651
0.350000,0.026988,-0.001382,0.752651
0.400000,0.026988,-0.001382,0.752651
0.450000,0.026988,-0.001382,0.752651
0.500000,0.026988,-0.001382,0.752651
0.550000,0.026988,-0.001382,0.752651
0.600000,0.026988,-0.001382,0.752651
0.650000,0.026988,-0.001382,0.752651
0.700000,0.026988,-0.001382,0.752651
0.750000,0.026988,-0.001382,0.752651
0.800000,0.026988,-0.001382,0.752651
0.850000,0.026988,-0.001382,0.752651
0.900000,0.026988,-0.001382,0.752651
0.950000,0.026988,-0.001382,0.752651
1.000000,0.026988,-0.001382,0.752651
1.050000,0.026988,-0.001382,0.752651
1.100000,0.026988,-0.001382,0.752651
1.150000,0.026988,-0.001382,0.752651
1.200000,0.026988,-0.001382,0.752651
1.250000,0.026988,-0.001382,0.752651
1.300000,0.026988,-0.001382,0.752651
1.350000,0.026988,-0.001382,0.752651
1.400000,0.026988,-0.001382,0.752651
1.450000,0.026988,-0.001382,0.752651
1.500000,0.026988,-0.001382,0.752651
1.550000,0.026988,-0.001382,0.752651
1.600000,0.026988,-0.001382,0.752651
1.649999,0.026988,-0.001382,0.752651
1.699999,0.026988,-0.001382,0.752651
1.749999,0.026988,-0.001382,0.752651
1.799999,0.026988,-0.001382,0.752651
1.849999,0.026988,-0.001382,0.752651
1.899999,0.026988,-0.001382,0.752651
1.949999,0.026988,-0.001382,0.752651
1.999999,0.026988,-0.001382,0.752651
2.049999,0.026988,-0.001382,0.752651
2.099999,0.026988,-0.001382,0.752651
2.149999,0.026988,-0.001382,0.752651
2.199999,0.026988,-0.001382,0.752651
2.249999,0.026988,-0.001382,0.752651
2.299999,0.026988,-0.001382,0.752651
2.349999,0.026988,-0.001382,0.752651
2.399999,0.026988,-0.001382,0.752651
2.449999,0.026988,-0.001382,0.752651
2.499999,0.026988,-0.001382,0.752651
2.549999,0.026988,-0.001382,0.752651
2.599999,0.026988,-0.001382,0.752651
2.649999,0.026988,-0.001382,0.752651
2.699999,0.026988,-0.001382,0.752651
2.749999,0.026988,-0.001382,0.752651
2.799999,0.026988,-0.001382,0.752651
2.849998,0.026988,-0.001382,0.752651
2.899998,0.026988,-0.001382,0.752651
2.949998,0.026988,-0.001382,0.752651
2.999998,0.026988,-0.001382,0.752651
3.049998,0.026988,-0.001382,0.752651
3.099998,0.026988,-0.001382,0.752651
3.149998,0.026988,-0.001382,0.752651
3.199998,0.026988,-0.001382,0.752651
3.249998,0.026988,-0.001382,0.752651
3.299998,0.026988,-0.001382,0.752651
3.349998,0.026988,-0.001382,0.752651
3.399998,0.026988,-0.001382,0.752651
3.449998,0.026988,-0.001382,0.752651
3.499998,0.026988,-0.001382,0.752651
3.549998,0.026988,-0.001382,0.752651
3.599998,0.026988,-0.001382,0.752651
3.649998,0.026988,-0.001382,0.752651
3.699998,0.026988,-0.001382,0.752651
3.749998,0.026988,-0.001382,0.752651
3.799998,0.026988,-0.001382,0.752651
3.849998,0.026988,-0.001382,0.752651
3.899997,0.026988,-0.001382,0.752651
3.949997,0.026988,-0.001382,0.752651
3.999997,0.026988,-0.001382,0.752651
4.049997,0.026988,-0.001382,0.752651
4.099998,0.026988,-0.001382,0.752651
4.149998,0.026988,-0.001382,0.752651
4.199998,0.026988,-0.001382,0.752651
4.249998,0.026988,-0.001382,0.752651
4.299998,0.026988,-0.001382,0.752651
4.349998,0.026988,-0.001382,0.752651
4.399999,0.026988,-0.001382,0.752651
4.449999,0.026988,-0.001382,0.752651
4.499999,0.026988,-0.001382,0.752651
4.549999,0.026988,-0.001382,0.752651
4.599999,0.026988,-0.001382,0.752651
4.650000,0.026988,-0.001382,0.752651
4.700000,0.026988,-0.001382,0.752651
4.750000,0.026988,-0.001382,0.752651
4.800000,0.026988,-0.001382,0.752651
4.850000,0.026988,-0.001382,0.752651
4.900001,0.026988,-0.001382,0.752651
4.950001,0.026988,-0.001382,0.752651
